Index;Privilege;Codename;Ranks;Interactions;DefaultPosition;Event;Icon
0;Sale of Office;BUOffice;3;2;0;;
1;Tax Farming;BUFarm;3;2;0;;
2;Term of Office;BUTenure;3;2;0;;
3;Official Wages;BUWages;4;3;0;;
4;Bureaucratic Hierarchy;BUHierarchy;3;2;0;;
5;Means of Recruitment;BUHire;5;4;0;;
6;Civil Examinations;BUExams;4;3;0;;
7;Institutional Oversight;BUOversight;3;2;0;;
8;Entry Requirements;BUEnlist;3;2;0;;
9;Provincial Administration;BUStructure;4;3;0;;
10;Sovereign Courts;BUCourts;4;3;0;;
11;Local Government;BULocal;4;3;0;;
12;Bureaucratic Politicisation;BUPolitics;4;3;0;;
13;Regional Tenure;BURotate;2;1;0;;
14;Noble Dues;NOServiceE;5;4;0;;
15;Titles;NOTitles;3;2;0;;
16;Process Monopoly;NOProcessing;3;2;0;;
17;Game Monopoly;NOGame;3;2;0;;
18;Forestry Monopoly;NOForestry;3;2;0;;
19;Seigneurial Courts;NOSeigneurial;4;3;0;;
20;Court Titles;NOHeritable;3;2;0;;
21;Rural Autonomy;NOAutonomy;6;5;0;;
22;Prestigious Diplomacy;NODiplomacy;3;2;0;;
23;Familial Service;NODynastic;3;2;0;;
24;Noble Hierarchy;NOHierarchy;4;3;0;;
