Index;Right;Codename;Ranks;Interactions;DefaultPosition;Mana_Ranks;Mana_Rank1;Mana_Rank2;Mana_Rank3;Mana_Rank4;Mana_Rank5;Mana_Rank6;Mana_Rank7;Mana_Rank8;Mana_Rank9;Mana_Rank10;Icon
0;Bureaucratic Taxation;Rights_BUTax;4;3;0;150,0,0|250,0,0|250,0,0;;150,0,0;250,0,0;250,0,0;;;;;;;privilege_make_generous_donation
1;Bureaucratic Direct Taxation;Rights_BUDir;3;2;0;200,0,0|200,0,0;;200,0,0;200,0,0;;;;;;;;privilege_give_money
2;Bureaucratic Indirect Taxation;Rights_BUInd;3;2;0;150,0,0|150,0,0;;150,0,0;150,0,0;;;;;;;;privilege_grant_autonomy
3;Military Service;Rights_BUSer;4;3;0;0,0,150|0,0,200|0,0,300;;0,0,150;0,0,200;0,0,300;;;;;;;privilege_demand_more_troops
4;Rural Governance;Rights_NOGov;6;5;3;100,0,100|150,0,150|200,0,200|250,0,250|300,0,300;;100,0,100;150,0,150;200,0,200;250,0,250;300,0,300;;;;;privilege_monopoly_of_goods_glass
5;Noble Obligations;Rights_NOObl;3;2;2;0,100,0|0,100,0;;0,100,0;0,100,0;;;;;;;;privilege_give_money
6;Peasant Freedom;Rights_NOTen;4;3;3;200,0,0|200,0,0|250,0,0;;200,0,0;200,0,0;250,0,0;;;;;;;privilege_conscript_cossack_elite
7;Noble Service;Rights_NOSer;6;5;2;0,0,150|0,0,200|100,0,250|100,0,250|100,0,250;;0,0,150;0,0,200;100,0,250;100,0,250;100,0,250;;;;;privilege_demand_more_troops
8;Commerce Reforms;Rights_BGCom;10;9;5;200,200,0|100,100,0|25,125,0|0,150,0|0,150,0|50,150,0|100,100,0|0,200,0|150,150,0;;200,200,0;100,100,0;25,125,0;0,150,0;0,150,0;50,150,0;100,100,0;0,200,0;150,150,0;privilege_monopoly_of_goods_paper
9;Urban Governance;Rights_BGGov;7;6;3;100,50,0|100,50,0|50,150,0|50,150,0|50,150,0|100,150,0;;100,50,0;100,50,0;50,150,0;50,150,0;50,150,0;100,150,0;;;;privilege_empty_throne
10;Church Hierarchy;Rights_CLHie;3;2;2;250,0,0|250,0,0;;250,0,0;250,0,0;;;;;;;;privilege_build_jain_temple
11;Clergy Obligations;Rights_CLObl;3;2;2;100,100,0|100,100,0;;100,100,0;100,100,0;;;;;;;;privilege_give_money
12;Church Taxation;Rights_CLTax;3;2;2;150,0,0|250,0,0;;150,0,0;250,0,0;;;;;;;;privilege_lighten_dhimmi_tax_burden
