#		
# Central Africa
#
CKW	= "countries/Chokwe.txt"
KIK	= "countries/Kikondja.txt"
KLD	= "countries/Kalundwe.txt"
KSJ	= "countries/Kasanje.txt"
KUB	= "countries/Kuba.txt"
KZB	= "countries/Kazembe.txt"
LND	= "countries/Lunda.txt"
LUB	= "countries/Luba.txt"
#		
# Great Lakes
#
BNY	= "countries/Bunyoro.txt"
BSG	= "countries/Basoga.txt"
BUG	= "countries/Buganda.txt"
BUU	= "countries/Burundi.txt"
KRW	= "countries/Karagwe.txt"
MPO	= "countries/Mpororo.txt"						#/*
NKO	= "countries/Nkore.txt"
RWA	= "countries/Rwanda.txt"
TOR	= "countries/Toro.txt"
UBH	= "countries/Buha.txt"
