# No previous file for Pequttôog

#owner = PEQ
#controller = PEQ
#add_core = PEQ

capital = "Pequttôog"
trade_goods = unknown
culture = pequot
religion = midewiwin

hre = no

base_tax = 3
base_production = 0
base_manpower = 0

native_size = 15
native_ferocity = 3
native_hostileness = 4

#is_city = yes

450.1.1 = {
	set_key = { lhs = pop_level value = 5 }
	set_province_flag = tribals_control_province
}
#1614.1.1 = { } # Adriaen Block
#1636.1.1 = {
#	owner = ENG
#	controller = ENG
#	capital = "Providence"
#	religion = reformed
#	culture = english
#	trade_goods = fish
#} # British settlers from Massachusetts
#1661.1.1 = {
#	add_core = ENG
#}
#1687.10.1 = {
#	unrest = 4
#} # The unwelcomed arrival of Edmund Andros
#1689.1.1 = {
#	unrest = 0
#} # The colonials overthrow the new President of New England after James II is overthrown
#1707.5.12 = {
#	owner = GBR
#	controller = GBR
#	add_core = GBR
#	remove_core = ENG
#}
#1764.7.1 = {
#	culture = american
#	unrest = 6
#} # Growing unrest
#1776.7.4 = {
#	owner = USA
#	controller = USA
#	add_core = USA
#} # Declaration of Independence
#1782.11.1 = {
#	unrest = 0
#	remove_core = GBR
#} # Preliminary articles of peace, the British recognized American independence
