# No previous file for Chinook

#owner = CNK
#controller = CNK
#add_core = CNK

capital = "Chinook"
trade_goods = unknown
culture = chinook
religion = kachina

hre = no

base_tax = 3
base_production = 0
base_manpower = 0

#is_city = yes

native_size = 25
native_ferocity = 3
native_hostileness = 4

450.1.1 = {
	# Features
	set_province_flag = TN_RiverSea
	set_province_flag = TN_Natural_Minor
	set_province_flag = TN_Estuary
	set_key = { lhs = pop_level value = 3.5 }
	set_province_flag = tribals_control_province
}
#1811.1.1 = {
#	owner = USA
#	controller = USA
#	citysize = 350
#	religion = protestant
#	culture = american
#} # Fort Astoria
#1814.12.24 = {
#	owner = GBR
#	controller = GBR
#	citysize = 200
#	culture = english
#	religion = protestant
#} # British control after the War of 1812
