province;red;green;blue;x;x
1;128;34;64;Uppland;x
2;0;36;128;Östergötland;x
3;128;38;192;Småland;x
4;0;40;255;Dalarna;x
5;128;42;0;Värmland;x
6;0;44;64;Skåne;x
7;129;46;128;Älvsborg;x
8;1;48;192;Västergötland;x
9;129;50;255;Åland;x
10;1;52;0;Jemtland;x
11;129;54;64;Hälsingland;x
12;1;56;128;Noersyaland;x
13;129;58;192;Südschleswig;x
14;2;60;255;Fyun;x
15;130;62;0;Jutland;x
16;2;64;64;Akershus;x
17;130;66;128;Tunsberg;x
18;2;68;192;Blekyng;x
19;130;70;255;Pohjanmaa;x
20;2;72;0;Stavanger;x
21;131;74;64;Bratsberg;x
22;3;76;128;Trondheim;x
23;131;78;192;Bergenhus;x
24;3;80;255;Agdesiden;x
25;131;82;0;Gotland;x
26;3;84;64;Halland;x
27;131;86;128;Varsinaissuomi;x
28;4;88;192;Uusimaa;x
29;132;90;255;Häme;x
30;4;92;0;Satakunta;x
31;132;94;64;Savo;x
32;4;96;128;Viipuri;x
33;132;98;192;Ter Sámi;x
34;4;100;255;Ingria;x
35;133;102;0;Kem;x
36;5;104;64;Rävala;x
37;133;106;128;Sakala;x
38;5;108;192;Riga;x
39;133;110;255;Kurzeme;x
40;5;112;0;Mazoji Lietuva;x
41;133;114;64;Ostpreussen;x
42;6;116;128;Mazuri;x
43;134;118;192;Pòmòrskô;x
44;6;120;255;Hamburg;x
45;134;122;0;Lübeck;x
46;6;124;64;Schwerin;x
47;134;126;128;Stettin;x
48;6;128;192;Stolp;x
49;135;130;255;Brunswiek;x
50;7;132;0;Mittlemark;x
51;135;134;64;Kleve;x
52;7;136;128;Anhalt;x
53;135;138;192;Lüneburg;x
54;7;140;255;Weser;x
55;135;142;0;Ollnborg;x
56;8;144;64;Osnabrück;x
57;136;146;128;Güstrow;x
58;8;148;192;Unterfranken;x
59;136;150;255;Wittenberg;x
60;8;152;0;Oberlausitz;x
61;136;154;64;Calenberg;x
62;8;156;128;Lienz;x
63;137;158;192;Calésis;x
64;9;32;255;Straubing;x
65;137;34;0;München;x
66;9;36;64;Altmark;x
67;137;38;128;Noerjutland;x
68;9;40;192;Val d'Aousta;x
69;137;42;255;Breisgau;x
70;10;44;0;Bayreuth;x
71;138;46;64;Thüringen;x
72;10;48;128;Uckermark;x
73;138;50;192;Tirol;x
74;10;52;255;Baden;x
75;138;54;0;Nordgau;x
76;10;56;64;Salzburg;x
77;139;58;128;Würtemberg;x
78;11;60;192;Rheinpfalz;x
79;139;62;255;Kassel;x
80;11;64;0;Ulm;x
81;139;66;64;Nürnberg;x
82;11;68;128;Augsburg;x
83;139;70;192;Ostmark;x
84;12;72;255;Olomocko;x
85;140;74;0;Köln;x
86;12;76;64;Oberstift;x
87;140;78;128;Flinde-Lilos;x
88;12;80;192;Artoé;x
89;140;82;255;Picardie;x
90;12;84;0;West-Vloandern;x
91;141;86;64;Hénau;x
92;13;88;128;Brussel;x
93;141;90;192;Lîdje;x
94;13;92;255;Ost-Lëtzebuerg;x
95;141;94;0;Noord-Braebant;x
96;13;96;64;Zeelandt;x
97;141;98;128;Noord-Hollandt;x
98;14;100;192;Nedersticht;x
99;142;102;255;Neder-Gelre;x
100;14;104;0;East-Fryslân;x
101;142;106;64;Ligûria;x
102;14;108;128;Niza;x
103;142;110;192;Piemont;x
104;14;112;255;Lumbardia;x
105;143;114;0;Marca Anconitana;x
106;15;116;64;Mòdna;x
107;143;118;128;Travixo;x
108;15;120;192;Vérona;x
109;143;122;255;Màntua;x
110;15;124;0;Trènt;x
111;143;126;64;Friûl;x
112;16;128;128;Venexia;x
113;144;130;192;Emégglia;x
114;16;132;255;Rumâgna;x
115;144;134;0;Lucca;x
116;16;136;64;Fiorenza;x
117;144;138;128;Siena;x
118;16;140;192;Veterbe;x
119;145;142;255;Abbruzze;x
120;17;144;0;Basilicata;x
121;145;146;64;Irpinia;x
122;17;148;128;Mulise;x
123;145;150;192;Calàbbria;x
124;17;152;255;Missina;x
125;145;154;0;Palermu;x
126;18;156;64;Malta;x
127;146;158;128;Logudoro;x
128;18;32;192;Koroska;x
129;146;34;255;Kranjska;x
130;18;36;0;Eîstria;x
131;146;38;64;Zagorje;x
132;18;40;128;Oststeiermark;x
133;147;42;192;Buda;x
134;19;44;255;Ob der Enns;x
135;147;46;0;Szombathely;x
136;19;48;64;Spalatro;x
137;147;50;128;Dubrovnik;x
138;19;52;192;Kotor;x
139;147;54;255;Bosna;x
140;20;56;0;Kosovo;x
141;148;58;64;Sumadija;x
142;20;60;128;Kerkyra;x
143;148;62;192;Crunia;x
144;20;64;255;Gjirokaster;x
145;148;66;0;Morea;x
146;20;68;64;Attica;x
147;149;70;128;Chalcidiki;x
148;21;72;192;Vardar;x
149;149;74;255;Thessalia;x
150;21;76;0;Drastar;x
151;149;78;64;Thrakí;x
152;21;80;128;Slavonija;x
153;149;82;192;Pécs;x
154;22;84;255;Ioannina;x
155;150;86;0;Serres;x
156;22;88;64;Nisava;x
157;150;90;128;Lodogoria;x
158;22;92;192;Siebenbürgen;x
159;150;94;255;Dobrogea;x
160;22;96;0;Basarabia;x
161;151;98;64;Vlasia;x
162;23;100;128;Maramures;x
163;151;102;128;Kriti;x
164;23;104;192;Kykládes;x
165;151;106;0;Zürichgau;x
