ID_Prov,Coord_X,Coord_Y,Coord_PortX,Coord_PortY,Land_PPort,Land_PSize,Land_PRad,Land_Soil,Land_Heat,Land_Rain,Land_Inundation,
1,2919.500,2028.000,2922.500,2028.000,3.000,264,9.175,0.857,7.247,0.500,0.220,
2,2881.500,2004.500,2900.500,2009.000,19.526,215,8.287,0.857,7.430,0.500,0.332,
3,2866.000,1980.000,2889.500,1970.000,25.539,633,14.197,0.857,7.537,0.500,0.179,
4,2882.000,2057.000,2888.000,2054.000,6.708,606,13.896,0.784,3.213,0.500,0.137,
5,2849.000,2029.000,2847.000,2045.000,16.125,422,11.600,0.801,5.181,0.500,0.247,
6,2843.000,1952.000,2839.500,1951.500,3.536,234,8.638,0.930,9.464,0.500,0.341,
7,2827.500,2010.000,2848.000,2001.000,22.389,87,5.266,0.757,6.729,0.500,0.322,
8,2843.000,1998.500,2820.500,1994.000,22.946,349,10.551,0.845,7.234,0.500,0.321,
9,2949.000,2045.500,2948.000,2042.000,3.640,38,3.512,0.714,11.216,0.500,0.030,
10,2868.000,2109.500,2878.000,2129.000,21.915,850,16.456,0.776,1.682,0.500,0.177,
11,2904.500,2056.000,2907.000,2057.000,2.693,1015,17.979,0.777,3.258,0.500,0.083,
12,2830.500,1952.500,2833.000,1950.000,3.536,47,3.868,0.766,11.266,0.500,0.367,
13,2787.000,1932.500,2793.000,1934.500,6.325,72,4.788,0.771,12.213,0.500,0.292,
14,2801.000,1948.000,2800.500,1941.000,7.018,67,4.641,0.880,11.902,0.500,0.340,
15,2794.500,1964.000,2796.500,1962.500,2.500,180,7.573,0.855,10.399,0.500,0.369,
16,2805.500,2041.500,2803.000,2039.500,3.202,639,14.270,0.715,3.679,0.500,0.138,
17,2797.000,2025.000,2798.000,2023.500,1.803,177,7.527,0.714,5.148,0.529,0.174,
18,2874.500,1964.000,2881.500,1960.500,7.826,73,4.841,0.863,9.074,0.500,0.369,
19,2976.000,2108.000,2974.500,2107.500,1.581,568,13.448,0.760,4.084,0.500,0.115,
20,2725.000,2012.500,2722.500,2015.500,3.905,148,6.885,0.733,5.984,0.988,0.238,
21,2786.000,2022.000,2787.500,2018.500,3.808,175,7.468,0.714,5.304,0.614,0.214,
22,2798.000,2113.000,2798.500,2114.500,1.581,828,16.239,0.714,3.124,0.721,0.199,
23,2720.500,2048.000,2718.000,2050.500,3.536,339,10.390,0.712,4.229,0.951,0.240,
24,2770.500,2010.000,2772.500,2007.500,3.202,233,8.614,0.714,7.180,0.821,0.220,
25,2924.500,1991.000,2921.500,1991.500,3.041,69,4.690,0.714,10.047,0.500,0.103,
26,2836.500,1973.500,2836.500,1971.500,2.000,115,6.057,0.849,9.124,0.504,0.329,
27,2984.000,2052.000,2983.000,2049.000,3.162,178,7.537,0.867,6.847,0.500,0.131,
28,3035.000,2049.000,3033.500,2046.500,2.915,259,9.094,0.870,5.979,0.500,0.209,
29,3025.000,2063.000,3037.000,2098.000,37.000,723,15.180,0.795,4.051,0.500,0.419,
30,2978.000,2072.000,2972.500,2072.000,5.500,537,13.079,0.822,4.818,0.500,0.246,
31,3081.000,2080.000,3075.000,2104.000,24.739,743,15.381,0.744,3.634,0.500,0.545,
